Loading Deephyper
--------------
2021-07-21 22:43:21|2108780|INFO|deephyper:69]

Loading Deephyper
--------------
2021-07-21 22:43:31|2108780|INFO|deephyper.search.search:64] Maximizing the return value of function: deephyper.nas.run.alpha.run
2021-07-21 22:43:31|2108780|INFO|deephyper.evaluator._ray_evaluator:90] RAY Evaluator init: redis-address=
2021-07-21 22:43:39|2108780|INFO|deephyper.evaluator._ray_evaluator:113] RAY Evaluator will execute: '<function run at 0x7fe1eb3398b0>', proc_info: {'node_ip_address': '127.0.1.1', 'raylet_ip_address': '127.0.1.1', 'redis_address': '127.0.1.1:22616', 'object_store_address': '/tmp/ray/session_2021-07-21_22-43-31_100584_2108780/sockets/plasma_store', 'raylet_socket_name': '/tmp/ray/session_2021-07-21_22-43-31_100584_2108780/sockets/raylet', 'webui_url': '127.0.0.1:8266', 'session_dir': '/tmp/ray/session_2021-07-21_22-43-31_100584_2108780', 'metrics_export_port': 60621, 'node_id': '3d94e897959b357504cd9558c690e4c177046c09754f19770dcaf934'}
2021-07-21 22:43:39|2108780|INFO|deephyper.search.search:81] Options: {   'backend': 'tensorflow',
    'cache_key': 'uuid',
    'driver_num_cpus': None,
    'driver_num_gpus': None,
    'eval_timeout_minutes': 4096,
    'evaluator': 'ray',
    'max_evals': 10,
    'num_cpus_per_task': 1,
    'num_evals_per_node': 1,
    'num_gpus_per_task': None,
    'num_nodes_per_eval': 1,
    'num_ranks_per_node': 1,
    'num_threads_per_node': None,
    'num_threads_per_rank': 64,
    'problem': 'nas_problems.nas_problems.model1.problem.Problem',
    'ray_address': '',
    'ray_password': '5241590000000000',
    'run': 'deephyper.nas.run.alpha.run',
    'seed': 2019}
2021-07-21 22:43:39|2108780|INFO|deephyper.search.search:82] Created ray evaluator
2021-07-21 22:43:39|2108780|INFO|deephyper.search.search:83] Evaluator: num_workers is 256
2021-07-21 22:45:32|2108780|INFO|deephyper.search.nas.run:119] Data loaded with kwargs: {}
2021-07-21 22:45:32|2108780|INFO|deephyper.search.nas.run:191] input_shape: (1690,)
2021-07-21 22:45:32|2108780|INFO|deephyper.search.nas.run:192] output_shape: (1,)
2021-07-21 22:45:32|2108780|INFO|deephyper.evaluator.evaluate:191] Submitted new eval of OrderedDict([('create_search_space', {'func': <function create_search_space at 0x7fe1f0a263a0>, 'kwargs': {'num_layers': 3}}), ('hyperparameters', {'verbose': 0, 'batch_size': 32, 'learning_rate': 0.01, 'optimizer': 'adam', 'num_epochs': 20, 'callbacks': {'ModelCheckpoint': {'monitor': 'val_loss', 'mode': 'min', 'save_best_only': True, 'verbose': 0, 'filepath': 'model.h5', 'save_weights_only': False}, 'EarlyStopping': {'monitor': 'val_acc', 'mode': 'max', 'verbose': 0, 'patience': 5}}}), ('load_data', {'func': <function load_data at 0x7fe1f17e8e50>, 'kwargs': {}}), ('log_dir', '/lus/theta-fs0/projects/datascience/wilsonb/theta/deephyper'), ('loss', 'binary_crossentropy'), ('metrics', ['acc']), ('objective', 'val_acc__last'), ('preprocessing', {'func': <function minmaxstdscaler at 0x7fe1f0a42310>}), ('seed', 3880426568), ('arch_seq', [0.8323024001314224, 0.7889290619064494, 0.9385678954207153, 0.16059637997392429, 0.6488539744120456, 0.8325765404421139, 0.9888735139157468, 0.9322143923769549, 0.7933123406870071]), ('id', UUID('5b433570-ea75-11eb-a7a4-b9f3ebebee75'))])
2021-07-21 22:45:32|2108780|INFO|deephyper.evaluator.evaluate:191] Submitted new eval of OrderedDict([('create_search_space', {'func': <function create_search_space at 0x7fe1f0a263a0>, 'kwargs': {'num_layers': 3}}), ('hyperparameters', {'verbose': 0, 'batch_size': 32, 'learning_rate': 0.01, 'optimizer': 'adam', 'num_epochs': 20, 'callbacks': {'ModelCheckpoint': {'monitor': 'val_loss', 'mode': 'min', 'save_best_only': True, 'verbose': 0, 'filepath': 'model.h5', 'save_weights_only': False}, 'EarlyStopping': {'monitor': 'val_acc', 'mode': 'max', 'verbose': 0, 'patience': 5}}}), ('load_data', {'func': <function load_data at 0x7fe1f17e8e50>, 'kwargs': {}}), ('log_dir', '/lus/theta-fs0/projects/datascience/wilsonb/theta/deephyper'), ('loss', 'binary_crossentropy'), ('metrics', ['acc']), ('objective', 'val_acc__last'), ('preprocessing', {'func': <function minmaxstdscaler at 0x7fe1f0a42310>}), ('seed', 462842226), ('arch_seq', [0.9686245146163092, 0.7522793996593736, 0.5986164334503081, 0.29211329232047056, 0.6141901257605182, 0.868276474909428, 0.419108550687748, 0.07145424073290252, 0.6645342731511337]), ('id', UUID('5b433571-ea75-11eb-a7a4-b9f3ebebee75'))])
2021-07-21 22:45:32|2108780|INFO|deephyper.evaluator.evaluate:191] Submitted new eval of OrderedDict([('create_search_space', {'func': <function create_search_space at 0x7fe1f0a263a0>, 'kwargs': {'num_layers': 3}}), ('hyperparameters', {'verbose': 0, 'batch_size': 32, 'learning_rate': 0.01, 'optimizer': 'adam', 'num_epochs': 20, 'callbacks': {'ModelCheckpoint': {'monitor': 'val_loss', 'mode': 'min', 'save_best_only': True, 'verbose': 0, 'filepath': 'model.h5', 'save_weights_only': False}, 'EarlyStopping': {'monitor': 'val_acc', 'mode': 'max', 'verbose': 0, 'patience': 5}}}), ('load_data', {'func': <function load_data at 0x7fe1f17e8e50>, 'kwargs': {}}), ('log_dir', '/lus/theta-fs0/projects/datascience/wilsonb/theta/deephyper'), ('loss', 'binary_crossentropy'), ('metrics', ['acc']), ('objective', 'val_acc__last'), ('preprocessing', {'func': <function minmaxstdscaler at 0x7fe1f0a42310>}), ('seed', 1688267935), ('arch_seq', [0.6552777516203547, 0.37168108205081196, 0.33839138799031543, 0.8574947357431263, 0.6940918600862482, 0.5627441414175176, 0.10876974136211015, 0.15684985585953715, 0.4418082267553851]), ('id', UUID('5b433572-ea75-11eb-a7a4-b9f3ebebee75'))])
2021-07-21 22:45:32|2108780|INFO|deephyper.evaluator.evaluate:191] Submitted new eval of OrderedDict([('create_search_space', {'func': <function create_search_space at 0x7fe1f0a263a0>, 'kwargs': {'num_layers': 3}}), ('hyperparameters', {'verbose': 0, 'batch_size': 32, 'learning_rate': 0.01, 'optimizer': 'adam', 'num_epochs': 20, 'callbacks': {'ModelCheckpoint': {'monitor': 'val_loss', 'mode': 'min', 'save_best_only': True, 'verbose': 0, 'filepath': 'model.h5', 'save_weights_only': False}, 'EarlyStopping': {'monitor': 'val_acc', 'mode': 'max', 'verbose': 0, 'patience': 5}}}), ('load_data', {'func': <function load_data at 0x7fe1f17e8e50>, 'kwargs': {}}), ('log_dir', '/lus/theta-fs0/projects/datascience/wilsonb/theta/deephyper'), ('loss', 'binary_crossentropy'), ('metrics', ['acc']), ('objective', 'val_acc__last'), ('preprocessing', {'func': <function minmaxstdscaler at 0x7fe1f0a42310>}), ('seed', 2249207589), ('arch_seq', [0.052293076746241285, 0.18608932171745585, 0.1176854896810331, 0.8264259223791218, 0.04974500136550419, 0.9141271590731849, 0.3235800016273943, 0.6599185576030647, 0.6077126148121853]), ('id', UUID('5b433573-ea75-11eb-a7a4-b9f3ebebee75'))])
2021-07-21 22:45:32|2108780|INFO|deephyper.evaluator.evaluate:191] Submitted new eval of OrderedDict([('create_search_space', {'func': <function create_search_space at 0x7fe1f0a263a0>, 'kwargs': {'num_layers': 3}}), ('hyperparameters', {'verbose': 0, 'batch_size': 32, 'learning_rate': 0.01, 'optimizer': 'adam', 'num_epochs': 20, 'callbacks': {'ModelCheckpoint': {'monitor': 'val_loss', 'mode': 'min', 'save_best_only': True, 'verbose': 0, 'filepath': 'model.h5', 'save_weights_only': False}, 'EarlyStopping': {'monitor': 'val_acc', 'mode': 'max', 'verbose': 0, 'patience': 5}}}), ('load_data', {'func': <function load_data at 0x7fe1f17e8e50>, 'kwargs': {}}), ('log_dir', '/lus/theta-fs0/projects/datascience/wilsonb/theta/deephyper'), ('loss', 'binary_crossentropy'), ('metrics', ['acc']), ('objective', 'val_acc__last'), ('preprocessing', {'func': <function minmaxstdscaler at 0x7fe1f0a42310>}), ('seed', 2679930584), ('arch_seq', [0.2946956352346394, 0.4004796012009284, 0.8183992624434315, 0.28450129705895755, 0.7607887030590094, 0.7435158363276662, 0.7676041176371003, 0.10351299925308244, 0.30508985743081574]), ('id', UUID('5b433574-ea75-11eb-a7a4-b9f3ebebee75'))])
2021-07-21 22:45:32|2108780|INFO|deephyper.evaluator.evaluate:191] Submitted new eval of OrderedDict([('create_search_space', {'func': <function create_search_space at 0x7fe1f0a263a0>, 'kwargs': {'num_layers': 3}}), ('hyperparameters', {'verbose': 0, 'batch_size': 32, 'learning_rate': 0.01, 'optimizer': 'adam', 'num_epochs': 20, 'callbacks': {'ModelCheckpoint': {'monitor': 'val_loss', 'mode': 'min', 'save_best_only': True, 'verbose': 0, 'filepath': 'model.h5', 'save_weights_only': False}, 'EarlyStopping': {'monitor': 'val_acc', 'mode': 'max', 'verbose': 0, 'patience': 5}}}), ('load_data', {'func': <function load_data at 0x7fe1f17e8e50>, 'kwargs': {}}), ('log_dir', '/lus/theta-fs0/projects/datascience/wilsonb/theta/deephyper'), ('loss', 'binary_crossentropy'), ('metrics', ['acc']), ('objective', 'val_acc__last'), ('preprocessing', {'func': <function minmaxstdscaler at 0x7fe1f0a42310>}), ('seed', 2343473342), ('arch_seq', [0.1888008515470423, 0.02211058320770387, 0.2967327327182644, 0.749886502185734, 0.9543340305827737, 0.002757923065075385, 0.8303355523432604, 0.07308004898441245, 0.6818160182972661]), ('id', UUID('5b433575-ea75-11eb-a7a4-b9f3ebebee75'))])
2021-07-21 22:45:32|2108780|INFO|deephyper.evaluator.evaluate:191] Submitted new eval of OrderedDict([('create_search_space', {'func': <function create_search_space at 0x7fe1f0a263a0>, 'kwargs': {'num_layers': 3}}), ('hyperparameters', {'verbose': 0, 'batch_size': 32, 'learning_rate': 0.01, 'optimizer': 'adam', 'num_epochs': 20, 'callbacks': {'ModelCheckpoint': {'monitor': 'val_loss', 'mode': 'min', 'save_best_only': True, 'verbose': 0, 'filepath': 'model.h5', 'save_weights_only': False}, 'EarlyStopping': {'monitor': 'val_acc', 'mode': 'max', 'verbose': 0, 'patience': 5}}}), ('load_data', {'func': <function load_data at 0x7fe1f17e8e50>, 'kwargs': {}}), ('log_dir', '/lus/theta-fs0/projects/datascience/wilsonb/theta/deephyper'), ('loss', 'binary_crossentropy'), ('metrics', ['acc']), ('objective', 'val_acc__last'), ('preprocessing', {'func': <function minmaxstdscaler at 0x7fe1f0a42310>}), ('seed', 2739662582), ('arch_seq', [0.08587114485182734, 0.6915890686680615, 0.9175691785899491, 0.3915943857752099, 0.6260915709683054, 0.7140948610103063, 0.6989673410461785, 0.3629513959562475, 0.9737897305250066]), ('id', UUID('5b433576-ea75-11eb-a7a4-b9f3ebebee75'))])
2021-07-21 22:45:32|2108780|INFO|deephyper.evaluator.evaluate:191] Submitted new eval of OrderedDict([('create_search_space', {'func': <function create_search_space at 0x7fe1f0a263a0>, 'kwargs': {'num_layers': 3}}), ('hyperparameters', {'verbose': 0, 'batch_size': 32, 'learning_rate': 0.01, 'optimizer': 'adam', 'num_epochs': 20, 'callbacks': {'ModelCheckpoint': {'monitor': 'val_loss', 'mode': 'min', 'save_best_only': True, 'verbose': 0, 'filepath': 'model.h5', 'save_weights_only': False}, 'EarlyStopping': {'monitor': 'val_acc', 'mode': 'max', 'verbose': 0, 'patience': 5}}}), ('load_data', {'func': <function load_data at 0x7fe1f17e8e50>, 'kwargs': {}}), ('log_dir', '/lus/theta-fs0/projects/datascience/wilsonb/theta/deephyper'), ('loss', 'binary_crossentropy'), ('metrics', ['acc']), ('objective', 'val_acc__last'), ('preprocessing', {'func': <function minmaxstdscaler at 0x7fe1f0a42310>}), ('seed', 2180761624), ('arch_seq', [0.3794147633221209, 0.724613385206392, 0.524705251198639, 0.4287341558636125, 0.30551165683283954, 0.43807640861070096, 0.2564984149608184, 0.2837501901527797, 0.29664675173952304]), ('id', UUID('5b433577-ea75-11eb-a7a4-b9f3ebebee75'))])
2021-07-21 22:45:32|2108780|INFO|deephyper.evaluator.evaluate:191] Submitted new eval of OrderedDict([('create_search_space', {'func': <function create_search_space at 0x7fe1f0a263a0>, 'kwargs': {'num_layers': 3}}), ('hyperparameters', {'verbose': 0, 'batch_size': 32, 'learning_rate': 0.01, 'optimizer': 'adam', 'num_epochs': 20, 'callbacks': {'ModelCheckpoint': {'monitor': 'val_loss', 'mode': 'min', 'save_best_only': True, 'verbose': 0, 'filepath': 'model.h5', 'save_weights_only': False}, 'EarlyStopping': {'monitor': 'val_acc', 'mode': 'max', 'verbose': 0, 'patience': 5}}}), ('load_data', {'func': <function load_data at 0x7fe1f17e8e50>, 'kwargs': {}}), ('log_dir', '/lus/theta-fs0/projects/datascience/wilsonb/theta/deephyper'), ('loss', 'binary_crossentropy'), ('metrics', ['acc']), ('objective', 'val_acc__last'), ('preprocessing', {'func': <function minmaxstdscaler at 0x7fe1f0a42310>}), ('seed', 3781714717), ('arch_seq', [0.4121142205820857, 0.3578664943058186, 0.22733496677363685, 0.18581854646089946, 0.43391663957418924, 0.36430606424328904, 0.8618661932213532, 0.9112127537704477, 0.5005133250276492]), ('id', UUID('5b433578-ea75-11eb-a7a4-b9f3ebebee75'))])
2021-07-21 22:45:32|2108780|INFO|deephyper.evaluator.evaluate:191] Submitted new eval of OrderedDict([('create_search_space', {'func': <function create_search_space at 0x7fe1f0a263a0>, 'kwargs': {'num_layers': 3}}), ('hyperparameters', {'verbose': 0, 'batch_size': 32, 'learning_rate': 0.01, 'optimizer': 'adam', 'num_epochs': 20, 'callbacks': {'ModelCheckpoint': {'monitor': 'val_loss', 'mode': 'min', 'save_best_only': True, 'verbose': 0, 'filepath': 'model.h5', 'save_weights_only': False}, 'EarlyStopping': {'monitor': 'val_acc', 'mode': 'max', 'verbose': 0, 'patience': 5}}}), ('load_data', {'func': <function load_data at 0x7fe1f17e8e50>, 'kwargs': {}}), ('log_dir', '/lus/theta-fs0/projects/datascience/wilsonb/theta/deephyper'), ('loss', 'binary_crossentropy'), ('metrics', ['acc']), ('objective', 'val_acc__last'), ('preprocessing', {'func': <function minmaxstdscaler at 0x7fe1f0a42310>}), ('seed', 2222791951), ('arch_seq', [0.7371117222085732, 0.8773552499452315, 0.3042224276536367, 0.05399719199969677, 0.7938259520345922, 0.5592887767814945, 0.6508534251641926, 0.7062136306338586, 0.07042756185479448]), ('id', UUID('5b433579-ea75-11eb-a7a4-b9f3ebebee75'))])
2021-07-21 22:45:32|2108780|INFO|deephyper.evaluator.evaluate:191] Submitted new eval of OrderedDict([('create_search_space', {'func': <function create_search_space at 0x7fe1f0a263a0>, 'kwargs': {'num_layers': 3}}), ('hyperparameters', {'verbose': 0, 'batch_size': 32, 'learning_rate': 0.01, 'optimizer': 'adam', 'num_epochs': 20, 'callbacks': {'ModelCheckpoint': {'monitor': 'val_loss', 'mode': 'min', 'save_best_only': True, 'verbose': 0, 'filepath': 'model.h5', 'save_weights_only': False}, 'EarlyStopping': {'monitor': 'val_acc', 'mode': 'max', 'verbose': 0, 'patience': 5}}}), ('load_data', {'func': <function load_data at 0x7fe1f17e8e50>, 'kwargs': {}}), ('log_dir', '/lus/theta-fs0/projects/datascience/wilsonb/theta/deephyper'), ('loss', 'binary_crossentropy'), ('metrics', ['acc']), ('objective', 'val_acc__last'), ('preprocessing', {'func': <function minmaxstdscaler at 0x7fe1f0a42310>}), ('seed', 1284934028), ('arch_seq', [0.5289211282833504, 0.20626805906491208, 0.5188964429315469, 0.34560873635150735, 0.23252478299575807, 0.15049999729482377, 0.12113432997025853, 0.4000916812130708, 0.18663468955470686]), ('id', UUID('5b43357a-ea75-11eb-a7a4-b9f3ebebee75'))])
